"p","score","alg","seed","sco","nedges","edges"
20,"iBGe","hillclimbing",1,"-4062.3997126709824",48,"1>10,1>12,1>17,1>3,1>8,10>12,10>16,10>18,11>17,11>18,11>20,12>11,12>6,13>9,14>11,14>15,14>3,16>20,18>19,18>20,2>1,2>10,2>12,2>16,2>19,2>6,3>16,3>6,3>9,4>11,4>16,4>6,4>9,5>15,5>18,5>9,6>11,6>18,7>13,7>14,7>18,7>19,7>2,7>9,8>17,9>11,9>12,9>19"
20,"iBGe","hillclimbing",2,"-4062.3997126709824",48,"1>10,1>12,1>17,1>3,1>8,10>12,10>16,10>18,11>17,11>18,11>20,12>11,12>6,13>9,14>11,14>15,14>3,16>20,18>19,18>20,2>1,2>10,2>12,2>16,2>19,2>6,3>16,3>6,3>9,4>11,4>16,4>6,4>9,5>15,5>18,5>9,6>11,6>18,7>13,7>14,7>18,7>19,7>2,7>9,8>17,9>11,9>12,9>19"
20,"iBGe","hillclimbing",3,"-4062.3997126709824",48,"1>10,1>12,1>17,1>3,1>8,10>12,10>16,10>18,11>17,11>18,11>20,12>11,12>6,13>9,14>11,14>15,14>3,16>20,18>19,18>20,2>1,2>10,2>12,2>16,2>19,2>6,3>16,3>6,3>9,4>11,4>16,4>6,4>9,5>15,5>18,5>9,6>11,6>18,7>13,7>14,7>18,7>19,7>2,7>9,8>17,9>11,9>12,9>19"
30,"iBIC","hcmc",1,"-94.875750068347344",142,"1>12,1>17,1>2,1>22,1>28,1>8,10>11,10>14,10>16,10>18,10>19,10>2,10>21,10>22,10>25,10>26,11>12,11>17,11>18,11>20,11>21,12>29,12>30,13>16,13>18,13>22,13>23,13>24,13>25,13>26,13>27,14>15,14>18,14>21,14>22,14>24,14>26,14>3,16>18,16>20,16>21,16>22,16>25,16>26,17>21,17>25,17>27,17>30,18>19,18>20,18>23,18>27,18>29,18>30,19>22,19>23,19>24,2>12,2>19,2>21,2>27,2>29,2>30,2>7,20>23,20>24,21>18,21>22,21>29,21>30,22>29,23>22,23>27,24>22,24>23,24>29,24>30,25>21,25>27,26>11,26>18,26>25,26>27,28>17,28>19,28>2,28>23,28>24,28>27,3>13,3>29,3>30,3>4,3>9,30>15,30>22,30>29,4>11,4>16,4>26,4>29,4>30,4>9,5>15,5>18,5>23,5>24,5>25,5>28,6>11,6>18,6>21,6>23,6>24,6>25,7>11,7>13,7>14,7>17,7>19,7>25,7>26,7>9,8>11,8>17,8>20,8>21,8>22,8>23,8>24,8>25,8>26,8>29,8>30,9>11,9>12,9>13,9>18,9>19,9>24,9>25,9>29"
30,"iBIC","hcmc",2,"-114.13172390792798",146,"1>12,1>2,1>22,10>11,10>16,10>18,10>19,10>2,10>21,10>22,10>23,10>25,10>26,11>12,11>17,11>18,11>20,11>21,12>29,12>30,13>16,13>18,13>2,13>22,13>23,13>24,13>25,13>26,13>27,14>10,14>15,14>18,14>21,14>22,14>26,14>3,14>7,16>20,16>21,16>22,16>23,16>24,16>25,16>26,17>1,17>21,17>25,17>27,17>30,18>19,18>27,18>29,18>30,19>22,19>23,19>27,2>12,2>29,2>30,20>2,21>18,21>22,21>27,21>29,21>30,22>29,23>20,23>22,23>28,24>18,24>19,24>20,24>22,24>23,24>29,24>30,25>21,25>24,25>27,25>28,26>11,26>18,26>20,26>24,26>25,26>28,27>23,27>28,28>1,28>2,3>13,3>27,3>28,3>29,3>30,3>4,3>9,30>15,30>22,30>29,4>11,4>16,4>2,4>26,4>28,4>29,4>30,4>9,5>15,5>18,5>19,5>20,5>23,5>25,6>11,6>18,6>20,6>21,6>23,6>25,7>1,7>11,7>13,7>17,7>25,7>26,7>27,7>9,8>11,8>17,8>20,8>21,8>22,8>23,8>25,8>26,8>29,8>30,9>1,9>11,9>12,9>13,9>18,9>19,9>25,9>29"
30,"iBIC","hcmc",3,"-94.875750068347344",142,"1>12,1>17,1>2,1>22,1>28,1>8,10>11,10>14,10>16,10>18,10>19,10>2,10>21,10>22,10>25,10>26,11>12,11>17,11>18,11>20,11>21,12>29,12>30,13>16,13>18,13>22,13>23,13>24,13>25,13>26,13>27,14>15,14>18,14>21,14>22,14>24,14>26,14>3,16>18,16>20,16>21,16>22,16>25,16>26,17>21,17>25,17>27,17>30,18>19,18>20,18>23,18>27,18>29,18>30,19>22,19>23,19>24,2>12,2>19,2>21,2>27,2>29,2>30,2>7,20>23,20>24,21>18,21>22,21>29,21>30,22>29,23>22,23>27,24>22,24>23,24>29,24>30,25>21,25>27,26>11,26>18,26>25,26>27,28>17,28>19,28>2,28>23,28>24,28>27,3>13,3>29,3>30,3>4,3>9,30>15,30>22,30>29,4>11,4>16,4>26,4>29,4>30,4>9,5>15,5>18,5>23,5>24,5>25,5>28,6>11,6>18,6>21,6>23,6>24,6>25,7>11,7>13,7>14,7>17,7>19,7>25,7>26,7>9,8>11,8>17,8>20,8>21,8>22,8>23,8>24,8>25,8>26,8>29,8>30,9>11,9>12,9>13,9>18,9>19,9>24,9>25,9>29"
30,"iBIC","hillclimbing",1,"-104.50450047774669",146,"1>12,1>2,1>22,10>11,10>14,10>16,10>18,10>19,10>2,10>21,10>22,10>23,10>25,10>26,11>12,11>17,11>18,11>20,11>21,12>29,12>30,13>16,13>18,13>2,13>21,13>22,13>23,13>24,13>26,13>27,14>15,14>18,14>22,14>26,14>3,14>7,15>18,15>21,16>20,16>21,16>22,16>23,16>24,16>25,16>26,17>1,17>25,17>27,17>30,18>19,18>21,18>27,18>29,18>30,19>22,19>23,19>27,2>12,2>29,2>30,20>2,21>22,21>25,21>27,21>29,21>30,22>29,23>20,23>22,23>28,24>19,24>20,24>22,24>23,24>29,24>30,25>24,25>27,25>28,26>11,26>18,26>20,26>21,26>24,26>25,26>28,27>23,27>28,28>1,28>2,3>13,3>27,3>28,3>29,3>30,3>4,3>9,30>22,30>29,4>11,4>16,4>2,4>26,4>28,4>29,4>30,4>9,5>15,5>18,5>19,5>20,5>23,5>25,6>11,6>15,6>18,6>20,6>23,6>25,7>1,7>11,7>13,7>17,7>21,7>25,7>26,7>27,7>9,8>11,8>17,8>18,8>20,8>21,8>22,8>23,8>26,8>29,8>30,9>1,9>11,9>12,9>13,9>18,9>19,9>21,9>29"
30,"iBIC","hillclimbing",2,"-104.50450047774669",146,"1>12,1>2,1>22,10>11,10>14,10>16,10>18,10>19,10>2,10>21,10>22,10>23,10>25,10>26,11>12,11>17,11>18,11>20,11>21,12>29,12>30,13>16,13>18,13>2,13>21,13>22,13>23,13>24,13>26,13>27,14>15,14>18,14>22,14>26,14>3,14>7,15>18,15>21,16>20,16>21,16>22,16>23,16>24,16>25,16>26,17>1,17>25,17>27,17>30,18>19,18>21,18>27,18>29,18>30,19>22,19>23,19>27,2>12,2>29,2>30,20>2,21>22,21>25,21>27,21>29,21>30,22>29,23>20,23>22,23>28,24>19,24>20,24>22,24>23,24>29,24>30,25>24,25>27,25>28,26>11,26>18,26>20,26>21,26>24,26>25,26>28,27>23,27>28,28>1,28>2,3>13,3>27,3>28,3>29,3>30,3>4,3>9,30>22,30>29,4>11,4>16,4>2,4>26,4>28,4>29,4>30,4>9,5>15,5>18,5>19,5>20,5>23,5>25,6>11,6>15,6>18,6>20,6>23,6>25,7>1,7>11,7>13,7>17,7>21,7>25,7>26,7>27,7>9,8>11,8>17,8>18,8>20,8>21,8>22,8>23,8>26,8>29,8>30,9>1,9>11,9>12,9>13,9>18,9>19,9>21,9>29"
30,"iBIC","hillclimbing",3,"-104.50450047774669",146,"1>12,1>2,1>22,10>11,10>14,10>16,10>18,10>19,10>2,10>21,10>22,10>23,10>25,10>26,11>12,11>17,11>18,11>20,11>21,12>29,12>30,13>16,13>18,13>2,13>21,13>22,13>23,13>24,13>26,13>27,14>15,14>18,14>22,14>26,14>3,14>7,15>18,15>21,16>20,16>21,16>22,16>23,16>24,16>25,16>26,17>1,17>25,17>27,17>30,18>19,18>21,18>27,18>29,18>30,19>22,19>23,19>27,2>12,2>29,2>30,20>2,21>22,21>25,21>27,21>29,21>30,22>29,23>20,23>22,23>28,24>19,24>20,24>22,24>23,24>29,24>30,25>24,25>27,25>28,26>11,26>18,26>20,26>21,26>24,26>25,26>28,27>23,27>28,28>1,28>2,3>13,3>27,3>28,3>29,3>30,3>4,3>9,30>22,30>29,4>11,4>16,4>2,4>26,4>28,4>29,4>30,4>9,5>15,5>18,5>19,5>20,5>23,5>25,6>11,6>15,6>18,6>20,6>23,6>25,7>1,7>11,7>13,7>17,7>21,7>25,7>26,7>27,7>9,8>11,8>17,8>18,8>20,8>21,8>22,8>23,8>26,8>29,8>30,9>1,9>11,9>12,9>13,9>18,9>19,9>21,9>29"
30,"iBGe","hcmc",1,"-5657.7639888514404",135,"1>12,1>17,1>2,1>22,1>26,1>28,1>8,10>11,10>14,10>16,10>19,10>2,10>21,10>22,10>25,11>12,11>17,11>20,11>21,12>29,12>30,13>16,13>22,13>23,13>24,13>26,13>27,14>15,14>21,14>22,14>24,14>26,14>3,16>20,16>21,16>22,17>21,17>25,17>27,17>30,18>11,18>20,18>22,18>23,18>26,18>27,18>29,18>30,19>18,19>23,19>24,19>25,2>12,2>19,2>21,2>26,2>27,2>29,2>30,2>7,20>23,20>24,21>29,21>30,22>23,22>29,23>27,24>23,24>29,24>30,25>21,25>27,26>11,26>25,26>27,28>17,28>18,28>2,28>23,28>24,28>27,3>13,3>18,3>29,3>30,3>9,30>15,30>22,30>29,4>11,4>16,4>18,4>19,4>2,4>29,4>30,4>9,5>11,5>15,5>19,5>23,5>24,5>25,5>26,5>28,6>11,6>21,6>23,6>24,6>25,7>11,7>13,7>14,7>17,7>18,7>19,7>25,7>26,7>9,8>17,8>20,8>21,8>22,8>24,8>25,8>26,8>29,8>30,9>11,9>12,9>13,9>19,9>25,9>26,9>29"
